doc_id	word_id	word	pos	mention_ids	entity_ids
0956	0	In	IN		
0956	1	a	DT		
0956	2	corner	NN		
0956	3	of	IN		
0956	4	the	DT		
0956	5	cavernous	JJ		
0956	6	,	,		
0956	7	new	JJ		
0956	8	Nippon	NNP		
0956	9	Convention	NNP		
0956	10	Center	NNP		
0956	11	sits	VBZ		
0956	12	Mazda	NNP	0 1	0956:4 0956:27
0956	13	Motor	NNP	0 1	0956:4 0956:27
0956	14	Corp.	NNP	0 1	0956:4 0956:27
0956	15	's	POS	0 1	0956:4 0956:27
0956	16	advanced	JJ	0	0956:4
0956	17	-	HYPH	0	0956:4
0956	18	technology	NN	0	0956:4
0956	19	display	NN	0	0956:4
0956	20	.	.		
0956	0	The	DT	2	0956:17
0956	1	highlight	NN	2	0956:17
0956	2	:	:	2	0956:17
0956	3	a	DT	2	0956:17
0956	4	``	``	2	0956:17
0956	5	fragrance	NN	2	0956:17
0956	6	control	NN	2	0956:17
0956	7	system	NN	2	0956:17
0956	8	.	.	2	0956:17
0956	9	''	''	2	0956:17
0956	0	With	IN		
0956	1	the	DT		
0956	2	touch	NN		
0956	3	of	IN		
0956	4	a	DT		
0956	5	button	NN		
0956	6	,	,		
0956	7	drivers	NNS		
0956	8	can	MD		
0956	9	choose	VB		
0956	10	from	IN		
0956	11	lavender	NN	3	0956:1
0956	12	,	,	3	0956:1
0956	13	jasmine	NN	3	0956:1
0956	14	,	,	3	0956:1
0956	15	mint	NN	3	0956:1
0956	16	or	CC	3	0956:1
0956	17	perfume	NN	3	0956:1
0956	18	scents	NNS	3	0956:1
0956	19	,	,		
0956	20	all	DT	4	0956:1
0956	21	blown	VBN		
0956	22	in	IN		
0956	23	through	IN		
0956	24	the	DT		
0956	25	car	NN		
0956	26	's	POS		
0956	27	air	NN		
0956	28	-	HYPH		
0956	29	conditioning	NN		
0956	30	system	NN		
0956	31	.	.		
0956	0	The	DT		
0956	1	soft	JJ		
0956	2	,	,		
0956	3	wafting	VBG		
0956	4	aromas	NNS		
0956	5	will	MD		
0956	6	``	``		
0956	7	improve	VB		
0956	8	ride	NN		
0956	9	comfort	NN		
0956	10	,	,		
0956	11	''	''		
0956	12	the	DT	5	0956:4
0956	13	display	NN	5	0956:4
0956	14	attests	VBZ		
0956	15	,	,		
0956	16	and	CC		
0956	17	a	DT		
0956	18	proud	JJ		
0956	19	employee	NN		
0956	20	says	VBZ		
0956	21	Mazda	NNP	6	0956:27
0956	22	hopes	VBZ		
0956	23	to	TO		
0956	24	move	VB		
0956	25	the	DT	7	0956:17
0956	26	system	NN	7	0956:17
0956	27	out	IN		
0956	28	of	IN		
0956	29	the	DT		
0956	30	lab	NN		
0956	31	and	CC		
0956	32	into	IN		
0956	33	its	PRP$	8	0956:27
0956	34	cars	NNS		
0956	35	in	IN		
0956	36	a	DT		
0956	37	year	NN		
0956	38	or	CC		
0956	39	two	CD		
0956	40	.	.		
0956	0	Welcome	VB		
0956	1	to	IN		
0956	2	the	DT	9	0956:26
0956	3	28th	JJ	9	0956:26
0956	4	Tokyo	NNP	9	0956:26
0956	5	Motor	NNP	9	0956:26
0956	6	Show	NNP	9	0956:26
0956	7	.	.		
0956	0	Here	RB		
0956	1	you	PRP		
0956	2	can	MD		
0956	3	find	VB		
0956	4	Mitsubishi	NNP	10	0956:10
0956	5	Motors	NNPS	10	0956:10
0956	6	Corp.	NNP	10	0956:10
0956	7	displaying	VBG	10	0956:10
0956	8	a	DT	10	0956:10
0956	9	``	``	10	0956:10
0956	10	live	JJ	10	0956:10
0956	11	fish	NN	10	0956:10
0956	12	transporter	NN	10	0956:10
0956	13	,	,	10	0956:10
0956	14	''	''	10	0956:10
0956	15	a	DT	10	0956:10
0956	16	truck	NN	10	0956:10
0956	17	akin	JJ	10	0956:10
0956	18	to	IN	10	0956:10
0956	19	an	DT	10	0956:10
0956	20	aquarium	NN	10	0956:10
0956	21	on	IN	10	0956:10
0956	22	wheels	NNS	10	0956:10
0956	23	,	,	10	0956:10
0956	24	and	CC		
0956	25	Nissan	NNP	11	0956:22
0956	26	Motor	NNP	11	0956:22
0956	27	Co.	NNP	11	0956:22
0956	28	with	IN	11	0956:22
0956	29	its	PRP$	11	0956:22
0956	30	``	``	11	0956:22
0956	31	keyless	JJ	11	0956:22
0956	32	''	''	11	0956:22
0956	33	Boga	NNP	11	0956:22
0956	34	,	,	11	0956:22
0956	35	whose	WP$	11	0956:22
0956	36	doors	NNS	11	0956:22
0956	37	unlock	VBP	11	0956:22
0956	38	upon	IN	11	0956:22
0956	39	recognizing	VBG	11	0956:22
0956	40	the	DT	11	0956:22
0956	41	owner	NN	11	0956:22
0956	42	's	POS	11	0956:22
0956	43	fingerprints	NNS	11	0956:22
0956	44	.	.		
0956	0	Suzuki	NNP		
0956	1	Motor	NNP		
0956	2	Co.	NNP		
0956	3	's	POS		
0956	4	Escudome	NNP		
0956	5	sport	NN		
0956	6	vehicle	NN		
0956	7	features	VBZ		
0956	8	a	DT		
0956	9	pop	VB		
0956	10	-	HYPH		
0956	11	out	RP		
0956	12	rear	JJ		
0956	13	tent	NN		
0956	14	and	CC		
0956	15	invites	VBZ		
0956	16	drivers	NNS		
0956	17	to	TO		
0956	18	go	VB		
0956	19	``	``		
0956	20	back	RB		
0956	21	to	IN		
0956	22	the	DT		
0956	23	nature	NN		
0956	24	.	.		
0956	25	''	''		
0956	0	But	CC		
0956	1	this	DT	12	0956:26
0956	2	biennial	JJ	12	0956:26
0956	3	event	NN	12	0956:26
0956	4	,	,	12	0956:26
0956	5	the	DT	12	0956:26
0956	6	world	NN	12	0956:26
0956	7	's	POS	12	0956:26
0956	8	largest	JJS	12	0956:26
0956	9	display	NN	12	0956:26
0956	10	of	IN	12	0956:26
0956	11	cars	NNS	12	0956:26
0956	12	and	CC	12	0956:26
0956	13	trucks	NNS	12	0956:26
0956	14	,	,	12	0956:26
0956	15	has	VBZ		
0956	16	its	PRP$	13	0956:26
0956	17	serious	JJ		
0956	18	side	NN		
0956	19	,	,		
0956	20	including	VBG		
0956	21	the	DT		
0956	22	first	JJ		
0956	23	major	JJ		
0956	24	exhibitions	NNS		
0956	25	of	IN		
0956	26	future	JJ		
0956	27	engines	NNS		
0956	28	and	CC		
0956	29	vehicle	NN		
0956	30	-	HYPH		
0956	31	suspension	NN		
0956	32	systems	NNS		
0956	33	.	.		
0956	0	It	PRP	14	0956:26
0956	1	's	VBZ		
0956	2	also	RB		
0956	3	the	DT		
0956	4	prime	JJ		
0956	5	showcase	NN		
0956	6	for	IN		
0956	7	a	DT	15	0956:14
0956	8	country	NN	15	0956:14
0956	9	whose	WP$	15	0956:14
0956	10	world	NN	15	0956:14
0956	11	dominance	NN	15	0956:14
0956	12	in	IN	15	0956:14
0956	13	the	DT	15	0956:14
0956	14	industry	NN	15	0956:14
0956	15	is	VBZ	15	0956:14
0956	16	increasingly	RB	15	0956:14
0956	17	acknowledged	VBN	15	0956:14
0956	18	,	,		
0956	19	and	CC		
0956	20	therein	RB		
0956	21	lies	VBZ		
0956	22	the	DT		
0956	23	draw	NN		
0956	24	.	.		
0956	0	Even	RB		
0956	1	the	DT		
0956	2	biggest	JJS		
0956	3	auto	NN		
0956	4	shows	NNS		
0956	5	in	IN		
